x,y,t,torque,steering_angle,long_acc,long_vel,lat_acc,lat_vel,yaw_angle,yaw_rate,slip_angle_f,slip_angle_r,norm_load_f,norm_load_r,slip_angle_est_f,slip_angle_est_r,lat_for_f, lat_for_r,track_progress,error
0.001,0,0,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.002,0,0.001,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.003,0,0.002,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.004,0,0.003,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.005,0,0.004,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.006,0,0.005,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.007,0,0.006,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.008,0,0.007,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.009,0,0.008,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.01,0,0.009,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.011,0,0.01,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.012,0,0.011,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.013,0,0.012,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.014,0,0.013,0,0,0,1,0,0,0,0,0,0,6338.75,6338.75,0,0,0,0,0,0
0.014998,0,0.014,-390,0,-2.01238,0.997988,0,0,0,0,0,0,6533.75,6143.75,0,0,0,0,0,0
0.015994,0,0.015,-390,0,-2.01238,0.995975,0,0,0,0,0,0,6533.75,6143.75,0,0,0,0,0,0
0.0169879,0,0.016,-390,0,-2.01238,0.993963,0,0,0,0,0,0,6533.75,6143.75,0,0,0,0,0,0
0.0179799,0,0.017,-386.861,0,-1.99619,0.991967,0,0,0,0,0,0,6532.18,6145.32,0,0,0,0,0,0
0.0189699,0,0.018,-386.861,0,-1.99619,0.98997,0,0,0,0,0,0,6532.18,6145.32,0,0,0,0,0,0
0.0199579,0,0.019,-383.734,0,-1.98005,0.98799,0,0,0,0,0,0,6530.61,6146.88,0,0,0,0,0,0
0.0209439,0,0.02,-382.177,0,-1.97202,0.986018,0,0,0,0,0,0,6529.83,6147.66,0,0,0,0,0,0
0.0219279,0,0.021,-380.633,0,-1.96405,0.984054,0,0,0,0,0,0,6529.06,6148.43,0,0,0,0,0,0
0.02291,0,0.022,-379.094,0,-1.95611,0.982098,0,0,0,0,0,0,6528.29,6149.2,0,0,0,0,0,0
0.0238902,0,0.023,-377.562,0,-1.94821,0.98015,0,0,0,0,0,0,6527.53,6149.96,0,0,0,0,0,0
0.0248684,0,0.024,-377.562,0,-1.94821,0.978202,0,0,0,0,0,0,6527.53,6149.96,0,0,0,0,0,0
0.0258446,0,0.025,-374.517,0,-1.93249,0.976269,0,0,0,0,0,0,6526,6151.49,0,0,0,0,0,0
0.026819,0,0.026,-372.997,0,-1.92465,0.974345,0,0,0,0,0,0,6525.24,6152.25,0,0,0,0,0,0
0.0277914,0,0.027,-372.997,0,-1.92465,0.97242,0,0,0,0,0,0,6525.24,6152.25,0,0,0,0,0,0
0.0287619,0,0.028,-369.989,0,-1.90913,0.970511,0,0,0,0,0,0,6523.74,6153.75,0,0,0,0,0,0
0.0297305,0,0.029,-369.989,0,-1.90913,0.968602,0,0,0,0,0,0,6523.74,6153.75,0,0,0,0,0,0
0.0306972,0,0.03,-366.999,0,-1.8937,0.966708,0,0,0,0,0,0,6522.25,6155.25,0,0,0,0,0,0
0.031662,0,0.031,-366.999,0,-1.8937,0.964814,0,0,0,0,0,0,6522.25,6155.25,0,0,0,0,0,0
0.032625,0,0.032,-364.032,0,-1.87839,0.962936,0,0,0,0,0,0,6520.76,6156.73,0,0,0,0,0,0
0.033586,0,0.033,-362.555,0,-1.87077,0.961065,0,0,0,0,0,0,6520.02,6157.47,0,0,0,0,0,0
0.0345452,0,0.034,-361.09,0,-1.86321,0.959202,0,0,0,0,0,0,6519.29,6158.2,0,0,0,0,0,0
0.0355026,0,0.035,-359.631,0,-1.85568,0.957346,0,0,0,0,0,0,6518.56,6158.93,0,0,0,0,0,0
0.0364581,0,0.036,-358.178,0,-1.84818,0.955498,0,0,0,0,0,0,6517.83,6159.66,0,0,0,0,0,0
